file,fileDate,time_raw,layer,time_dt,mesh,timeRes,date,timeStep,i,timeCalculated
linnhe7_20211102_0002.nc,20211102,2021-11-01T03:20:00.000000,16,2021-11-01T03:20:00Z,linnhe7,5min,2021-11-01,5,40,2021-11-01T03:20:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T03:20:00.000000,16,2021-11-01T03:20:00Z,WeStCOMS2,5min,2021-11-01,5,40,2021-11-01T03:20:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T03:25:00.000000,17,2021-11-01T03:25:00Z,linnhe7,5min,2021-11-01,5,41,2021-11-01T03:25:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T03:25:00.000000,17,2021-11-01T03:25:00Z,WeStCOMS2,5min,2021-11-01,5,41,2021-11-01T03:25:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T03:30:00.000000,18,2021-11-01T03:30:00Z,linnhe7,5min,2021-11-01,5,42,2021-11-01T03:30:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T03:30:00.000000,18,2021-11-01T03:30:00Z,WeStCOMS2,5min,2021-11-01,5,42,2021-11-01T03:30:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T03:35:00.000000,19,2021-11-01T03:35:00Z,linnhe7,5min,2021-11-01,5,43,2021-11-01T03:35:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T03:35:00.000000,19,2021-11-01T03:35:00Z,WeStCOMS2,5min,2021-11-01,5,43,2021-11-01T03:35:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T03:40:00.000000,20,2021-11-01T03:40:00Z,linnhe7,5min,2021-11-01,5,44,2021-11-01T03:40:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T03:40:00.000000,20,2021-11-01T03:40:00Z,WeStCOMS2,5min,2021-11-01,5,44,2021-11-01T03:40:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T03:45:00.000000,21,2021-11-01T03:45:00Z,linnhe7,5min,2021-11-01,5,45,2021-11-01T03:45:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T03:45:00.000000,21,2021-11-01T03:45:00Z,WeStCOMS2,5min,2021-11-01,5,45,2021-11-01T03:45:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T03:50:00.000000,22,2021-11-01T03:50:00Z,linnhe7,5min,2021-11-01,5,46,2021-11-01T03:50:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T03:50:00.000000,22,2021-11-01T03:50:00Z,WeStCOMS2,5min,2021-11-01,5,46,2021-11-01T03:50:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T03:55:00.000000,23,2021-11-01T03:55:00Z,linnhe7,5min,2021-11-01,5,47,2021-11-01T03:55:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T03:55:00.000000,23,2021-11-01T03:55:00Z,WeStCOMS2,5min,2021-11-01,5,47,2021-11-01T03:55:00Z
linnhe7_20211101_0001.nc,20211101,1635739136,4,2021-11-01T03:58:56Z,linnhe7,1h,2021-11-01,59.7333333333333,26,2021-11-01T04:00:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T04:00:00.000000,0,2021-11-01T04:00:00Z,linnhe7,5min,2021-11-01,5,48,2021-11-01T04:00:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T04:00:00.000000,0,2021-11-01T04:00:00Z,WeStCOMS2,5min,2021-11-01,5,48,2021-11-01T04:00:00Z
westcoms2_20211101_0006.nc,20211101,2021-11-01T04:00:00.000000,4,2021-11-01T04:00:00Z,WeStCOMS2,1h,2021-11-01,60,4,2021-11-01T04:00:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T04:05:00.000000,1,2021-11-01T04:05:00Z,linnhe7,5min,2021-11-01,5,49,2021-11-01T04:05:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T04:05:00.000000,1,2021-11-01T04:05:00Z,WeStCOMS2,5min,2021-11-01,5,49,2021-11-01T04:05:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T04:10:00.000000,2,2021-11-01T04:10:00Z,linnhe7,5min,2021-11-01,5,50,2021-11-01T04:10:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T04:10:00.000000,2,2021-11-01T04:10:00Z,WeStCOMS2,5min,2021-11-01,5,50,2021-11-01T04:10:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T04:15:00.000000,3,2021-11-01T04:15:00Z,linnhe7,5min,2021-11-01,5,51,2021-11-01T04:15:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T04:15:00.000000,3,2021-11-01T04:15:00Z,WeStCOMS2,5min,2021-11-01,5,51,2021-11-01T04:15:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T04:20:00.000000,4,2021-11-01T04:20:00Z,linnhe7,5min,2021-11-01,5,52,2021-11-01T04:20:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T04:20:00.000000,4,2021-11-01T04:20:00Z,WeStCOMS2,5min,2021-11-01,5,52,2021-11-01T04:20:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T04:25:00.000000,5,2021-11-01T04:25:00Z,linnhe7,5min,2021-11-01,5,53,2021-11-01T04:25:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T04:25:00.000000,5,2021-11-01T04:25:00Z,WeStCOMS2,5min,2021-11-01,5,53,2021-11-01T04:25:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T04:30:00.000000,6,2021-11-01T04:30:00Z,linnhe7,5min,2021-11-01,5,54,2021-11-01T04:30:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T04:30:00.000000,6,2021-11-01T04:30:00Z,WeStCOMS2,5min,2021-11-01,5,54,2021-11-01T04:30:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T04:35:00.000000,7,2021-11-01T04:35:00Z,linnhe7,5min,2021-11-01,5,55,2021-11-01T04:35:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T04:35:00.000000,7,2021-11-01T04:35:00Z,WeStCOMS2,5min,2021-11-01,5,55,2021-11-01T04:35:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T04:40:00.000000,8,2021-11-01T04:40:00Z,linnhe7,5min,2021-11-01,5,56,2021-11-01T04:40:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T04:40:00.000000,8,2021-11-01T04:40:00Z,WeStCOMS2,5min,2021-11-01,5,56,2021-11-01T04:40:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T04:45:00.000000,9,2021-11-01T04:45:00Z,linnhe7,5min,2021-11-01,5,57,2021-11-01T04:45:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T04:45:00.000000,9,2021-11-01T04:45:00Z,WeStCOMS2,5min,2021-11-01,5,57,2021-11-01T04:45:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T04:50:00.000000,10,2021-11-01T04:50:00Z,linnhe7,5min,2021-11-01,5,58,2021-11-01T04:50:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T04:50:00.000000,10,2021-11-01T04:50:00Z,WeStCOMS2,5min,2021-11-01,5,58,2021-11-01T04:50:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T04:55:00.000000,11,2021-11-01T04:55:00Z,linnhe7,5min,2021-11-01,5,59,2021-11-01T04:55:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T04:55:00.000000,11,2021-11-01T04:55:00Z,WeStCOMS2,5min,2021-11-01,5,59,2021-11-01T04:55:00Z
linnhe7_20211103_0003.nc,20211103,2021-11-01T05:00:00.000000,12,2021-11-01T05:00:00Z,linnhe7,5min,2021-11-01,5,60,2021-11-01T05:00:00Z
westcoms2_20211103_0003.nc,20211103,2021-11-01T05:00:00.000000,12,2021-11-01T05:00:00Z,WeStCOMS2,5min,2021-11-01,5,60,2021-11-01T05:00:00Z
westcoms2_20211101_0006.nc,20211101,2021-11-01T05:00:00.000000,5,2021-11-01T05:00:00Z,WeStCOMS2,1h,2021-11-01,60,5,2021-11-01T05:00:00Z
linnhe7_20211101_0001.nc,20211101,1635742848,5,2021-11-01T05:00:48Z,linnhe7,1h,2021-11-01,61.8666666666667,27,2021-11-01T05:00:00Z
