i,area,depth,trinode_1,trinode_2,trinode_3,lochRegion
"93917",16545.9086914063,68.7117080688477,"53163","53162","52644","7"
"93918",19449.748046875,71.0064239501953,"53163","52644","53164","7"
"93919",19664.138671875,89.0982513427734,"53164","52644","52645","7"
"93920",24429.97265625,85.5547332763672,"53165","53164","52645","7"
"93921",30331.9599609375,97.1693725585938,"53165","52645","52646","7"
"93922",43602.744140625,90.4323883056641,"53166","53165","52646","7"
"93923",58750.3178710938,95.5471115112305,"53167","53166","52646","7"
"93924",73821.1376953125,100.876731872559,"53167","52646","52647","7"
"93925",75475.400390625,100.287689208984,"53167","52647","53168","7"
"93926",79459.0771484375,100.207366943359,"52648","53168","52647","7"
"93927",78983.3920898438,98.0384674072266,"53168","52648","53169","7"
"93928",84352.6181640625,94.021858215332,"52648","53170","53169","7"
"93929",83965.9130859375,91.3638763427734,"52648","52649","53170","7"
"93930",89744.9926757813,85.2273864746094,"53171","53170","52649","7"
"93931",85818.2026367188,82.2709121704102,"53171","52649","52650","7"
"93932",87995.9829101563,75.1121673583984,"53172","53171","52650","7"
"93933",85305.1049804688,72.8110427856445,"53172","52650","52651","7"
"93934",97110.4926757813,65.890998840332,"53172","52651","53173","7"
"93935",103252.978515625,66.8761367797852,"53173","52651","52652","7"
"93936",84170.7172851563,51.1268081665039,"53174","53173","52652","7"
"93937",77170.830078125,35.5640640258789,"52653","53174","52652","7"
"94711",4909.69580078125,10.2297801971436,"53110","53622","53111","7"
"94712",4389.29443359375,12.3051300048828,"53110","53623","53622","7"
"94713",4196.8330078125,13.234091758728,"53110","53112","53623","7"
"94714",5572.2890625,7.6108775138855,"53625","53111","53624","7"
"94715",5995.76513671875,9.49384593963623,"53624","53111","53622","7"
"94716",4215.9169921875,14.0326976776123,"53623","53112","53626","7"
"94717",5797.03759765625,12.3174591064453,"53113","53626","53112","7"
"94718",7515.5166015625,10.8049516677856,"53113","53627","53626","7"
"94719",10598.2084960938,7.65826416015625,"53113","53628","53627","7"
"94720",6169.01025390625,6.29329967498779,"53113","53629","53628","7"
"94721",3989.92431640625,7.1053524017334,"53116","53114","53630","7"
"94722",3409.93408203125,6.37546920776367,"53114","53117","53630","7"
"94723",3392.55224609375,5.67471790313721,"53115","53117","53114","7"
"94724",3723.8017578125,7.10452699661255,"53116","53631","53632","7"
